Max_Batch_Size,Estimated_RAM_MB,Nb_Batches,Avg_Time_s
200000000,5601.64,1,21.4899
150000000,4457.23,2,28.1641
100000000,3312.82,4,35.2116
75000000,2740.61,7,45.169
50000000,2168.41,15,62.7148
25000000,1596.2,58,115.794
10000000,1252.88,361,274.449
